2016-12-20 00:14:21,344 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/baobaotao-servlet.xml]
2016-12-20 00:14:21,364 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-20 00:14:21,380 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2f831616: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@2df340e4
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.create] onto handler 'loginController'
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/my_login_register.create] onto handler 'loginController'
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/registerProcess.create] onto handler 'loginController'
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/loginCheck.create] onto handler 'loginController'
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/register.create] onto handler 'loginController'
2016-12-20 00:14:21,453 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/getHomePage.create] onto handler 'loginController'
2016-12-20 00:14:21,556 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization completed in 218 ms
2016-12-20 00:14:31,920 INFO  support.XmlWebApplicationContext - Closing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Tue Dec 20 00:14:21 CST 2016]; parent: Root WebApplicationContext
2016-12-20 00:14:31,920 INFO  support.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2f831616: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@2df340e4
2016-12-20 00:14:31,921 INFO  support.XmlWebApplicationContext - Closing Root WebApplicationContext: startup date [Tue Dec 20 00:14:20 CST 2016]; root of context hierarchy
2016-12-20 00:14:31,921 INFO  support.DefaultListableBeanFactory - Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2df340e4: defining beans [homePageDao,loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,homePageService,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-20 00:14:33,065 INFO  context.ContextLoader - Root WebApplicationContext: initialization started
2016-12-20 00:14:33,183 INFO  support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Dec 20 00:14:33 CST 2016]; root of context hierarchy
2016-12-20 00:14:33,249 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
2016-12-20 00:14:33,314 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-20 00:14:33,374 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-20 00:14:33,614 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4a8a7f3f: defining beans [homePageDao,loginLogDao,userDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,homePageService,userService,dataSource,jdbcTemplate,transactionManager,org.springframework.aop.config.internalAutoProxyCreator,serviceMethod,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0,txAdvice,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2016-12-20 00:14:34,111 INFO  context.ContextLoader - Root WebApplicationContext: initialization completed in 1045 ms
2016-12-20 00:14:34,128 INFO  servlet.DispatcherServlet - FrameworkServlet 'baobaotao': initialization started
2016-12-20 00:14:34,132 INFO  support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'baobaotao-servlet': startup date [Tue Dec 20 00:14:34 CST 2016]; parent: Root WebApplicationContext
2016-12-20 00:14:34,133 INFO  xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/baobaotao-servlet.xml]
2016-12-20 00:14:34,149 INFO  annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
2016-12-20 00:14:34,165 INFO  support.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2a39fe8c: defining beans [loginController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@4a8a7f3f
2016-12-20 00:14:34,240 INFO  annotation.DefaultAnnotationHandlerMapping - Mapped URL path [/login.create] onto handler 'loginController'
